[02.08.2026 18:01:32] INFO | ========================================
[02.08.2026 18:01:32] INFO | Запуск проекта Aegis
[02.08.2026 18:01:33] INFO | Система логирования работает.
[02.08.2026 18:01:33] INFO | ========================================
[02.08.2026 18:22:32] WARNING | BOT_TOKEN отсутствует в .env
[02.08.2026 18:22:32] INFO | Архитектура проекта успешно загружена.
[02.08.2026 22:47:47] INFO | Подключение базы данных...
[02.08.2026 22:47:47] INFO | База данных готова.
[02.08.2026 22:47:47] INFO | Запуск Aegis...
[02.08.2026 22:48:09] INFO | Отключение базы данных...
[02.08.2026 22:48:09] INFO | Aegis остановлен.
[02.08.2026 22:56:54] INFO | Подключение базы данных...
[02.08.2026 22:56:54] INFO | База данных готова.
[02.08.2026 22:56:54] INFO | Запуск Aegis...
[02.08.2026 22:57:15] INFO | Отключение базы данных...
[02.08.2026 22:57:15] INFO | Aegis остановлен.
[03.08.2026 14:41:44] INFO | Подключение базы данных...
[03.08.2026 14:41:44] INFO | База данных готова.
[03.08.2026 14:41:44] INFO | Запуск Aegis...
[03.08.2026 15:17:45] INFO | Отключение базы данных...
[03.08.2026 15:17:45] INFO | Aegis остановлен.
